# IP Address scheme


|   Node     |   Role      |   Interface   |   IP Address   |   Description         |
| ---------- | ----------- | ------------- | -------------- | --------------------- |
|   Spine1   | Underlay/RR | Loopback0     | 3.3.3.3/32     | Router ID & BGP ID    |
|            |             | Ethernet1     | 10.1.1.0/31    | Link to Leaf1         |
|            |             | Ethernet2     | 10.2.2.0/31    | Link to Leaf2         |
|   Leaf1    | VTEP        | Loopback0     |   1.1.1.1/32   | VTEP Source IP        |
|            |             | Ethernet1     | 10.1.1.1/31    | Link to Spine1        |
|            |             | Ethernet2     | -              | Access Port (VLAN 10) |
|   Leaf2    | VTEP        | Loopback0     |   2.2.2.2/32   | VTEP Source IP        |
|            |             | Ethernet1     | 10.2.2.1/31    | Link to Spine1        |
|            |             | Ethernet2     | -              | Access Port (VLAN 10) |


